Cycle,Round,Bet,Bet Color,Rolls,Matches,Multiplier,Result,Loss Streak,Profit,Bankroll
3,100,35,GREEN,"['BLUE', 'BLUE', 'GREEN']",1,1,WIN x1,0,35,29805.0
4,1,5,PINK,"['WHITE', 'RED', 'WHITE']",0,0,LOSE,1,-5,29800.0
4,2,15,YELLOW,"['WHITE', 'WHITE', 'PINK']",0,0,LOSE,2,-15,29785.0
4,3,35,BLUE,"['PINK', 'RED', 'YELLOW']",0,0,LOSE,3,-35,29750.0
4,4,75,BLUE,"['RED', 'RED', 'PINK']",0,0,LOSE,4,-75,29675.0
4,5,155,BLUE,"['RED', 'YELLOW', 'WHITE']",0,0,LOSE,5,-155,29520.0
4,6,315,BLUE,"['WHITE', 'WHITE', 'WHITE']",0,0,LOSE,6,-315,29205.0
4,7,635,PINK,"['WHITE', 'YELLOW', 'BLUE']",0,0,LOSE,7,-635,28570.0
4,8,1275,BLUE,"['RED', 'RED', 'RED']",0,0,LOSE,8,-1275,27295.0
4,9,2555,BLUE,"['RED', 'RED', 'WHITE']",0,0,LOSE,9,-2555,24740.0
4,10,5115,PINK,"['GREEN', 'GREEN', 'GREEN']",0,0,LOSE,10,-5115,19625.0
4,11,5115,YELLOW,"['RED', 'GREEN', 'WHITE']",0,0,LOSE,11,-5115,14510.0
4,12,5115,YELLOW,"['YELLOW', 'YELLOW', 'YELLOW']",3,2,WIN x2 (3 matches capped),0,10230,24740.0
4,13,5,YELLOW,"['RED', 'WHITE', 'GREEN']",0,0,LOSE,1,-5,24735.0
4,14,15,WHITE,"['WHITE', 'WHITE', 'GREEN']",2,2,WIN x2 (2 matches),0,30,24765.0
4,15,5,PINK,"['RED', 'GREEN', 'WHITE']",0,0,LOSE,1,-5,24760.0
4,16,15,GREEN,"['PINK', 'PINK', 'YELLOW']",0,0,LOSE,2,-15,24745.0
4,17,35,GREEN,"['GREEN', 'BLUE', 'PINK']",1,1,WIN x1,0,35,24780.0
4,18,5,PINK,"['WHITE', 'PINK', 'BLUE']",1,1,WIN x1,0,5,24785.0
4,19,5,YELLOW,"['WHITE', 'WHITE', 'WHITE']",0,0,LOSE,1,-5,24780.0
4,20,15,PINK,"['YELLOW', 'GREEN', 'RED']",0,0,LOSE,2,-15,24765.0
4,21,35,YELLOW,"['PINK', 'RED', 'RED']",0,0,LOSE,3,-35,24730.0
4,22,75,GREEN,"['WHITE', 'PINK', 'WHITE']",0,0,LOSE,4,-75,24655.0
4,23,155,GREEN,"['WHITE', 'RED', 'BLUE']",0,0,LOSE,5,-155,24500.0
4,24,315,PINK,"['YELLOW', 'RED', 'YELLOW']",0,0,LOSE,6,-315,24185.0
4,25,635,WHITE,"['WHITE', 'WHITE', 'PINK']",2,2,WIN x2 (2 matches),0,1270,25455.0
4,26,5,RED,"['PINK', 'YELLOW', 'RED']",1,1,WIN x1,0,5,25460.0
4,27,5,BLUE,"['RED', 'RED', 'GREEN']",0,0,LOSE,1,-5,25455.0
4,28,15,WHITE,"['PINK', 'WHITE', 'YELLOW']",1,1,WIN x1,0,15,25470.0
4,29,5,YELLOW,"['YELLOW', 'GREEN', 'RED']",1,1,WIN x1,0,5,25475.0
4,30,5,RED,"['GREEN', 'GREEN', 'WHITE']",0,0,LOSE,1,-5,25470.0
4,31,15,RED,"['GREEN', 'PINK', 'GREEN']",0,0,LOSE,2,-15,25455.0
4,32,35,BLUE,"['RED', 'BLUE', 'BLUE']",2,2,WIN x2 (2 matches),0,70,25525.0
4,33,5,RED,"['RED', 'BLUE', 'GREEN']",1,1,WIN x1,0,5,25530.0
